id,name,width,height,depth,weight,depends_on
53,Natural Display Cabinet,130,186,49,178,
54,Metal Bar Stool,38,75,45,6,
55,Natural Filing Cabinet,45,103,58,48,
56,Walnut Standing Desk,166,101,62,166,
57,Beech Armchair,96,95,97,62,
58,Industrial Wine Rack,70,83,33,19,
59,Natural Sofa 2-Seater,172,91,97,106,
60,Black Dining Chair,45,87,50,10,
61,Glass-Top Side Table,42,57,48,14,
62,Beech Floor Lamp,35,147,35,9,
63,Birch Office Chair,68,106,68,29,
64,Birch Console Table,93,81,40,33,
65,White Bookshelf,76,194,35,83,
66,Scandi Wardrobe Body,105,184,62,204,
67,Birch Mirror Cabinet,61,100,16,12,12
68,Mahogany Bookshelf,83,191,35,89,
69,Mahogany Console Table,114,75,42,40,
70,Natural Single Mattress,196,28,100,60,
71,Natural Sofa 2-Seater,166,81,99,93,
72,Pine Chest of Drawers,73,108,47,59,
73,Mahogany Changing Table,86,98,51,47,
74,Walnut Wine Rack,61,85,31,16,
75,Black Bean Bag,76,67,88,9,
76,Glass-Top Changing Table,93,93,60,57,
77,Rattan Wall Shelf,68,29,27,6,
78,Oak Desk,139,76,73,108,27
79,Grey Crib,124,90,66,52,
80,Mahogany Wardrobe Doors,208,12,59,15,66
81,Leather Kitchen Island,110,95,77,145,
82,Beech Office Chair,63,98,58,21,
83,Natural Wardrobe Body,128,193,60,252,
84,Leather Wall Shelf,91,28,20,6,
85,Pine Wardrobe Body,90,201,57,175,
86,Scandi Bar Stool,44,65,39,6,
87,Beech Footstool,36,40,39,3,
88,Marble Dresser,140,81,50,91,
89,Birch Pantry Cabinet,82,215,61,183,
90,Mahogany Bookshelf,95,171,34,88,
91,Industrial Nightstand,47,53,37,12,
92,Pine Sideboard,194,90,43,120,
93,Marble Single Mattress,194,23,93,46,
94,Glass-Top TV Stand,137,42,44,33,
95,Metal TV Stand,141,40,41,30,
96,Grey Bench,112,41,44,20,
97,Industrial Chest of Drawers,108,106,41,75,
98,Grey Sofa 2-Seater,161,93,90,94,
99,White Floor Lamp,33,153,29,7,
100,Glass-Top Nightstand,43,54,43,13,
101,Rattan Chest of Drawers,88,107,42,63,
102,Mahogany Sideboard,179,84,46,111,
103,Natural Dresser,103,93,54,83,
104,Scandi Single Mattress,197,23,98,49,
105,Walnut Bar Stool,42,75,39,6,
106,Natural Bookshelf,77,172,30,64,59
107,Walnut Coat Rack,54,173,60,28,
108,Rattan Footstool,50,41,42,5,
109,Birch Dining Table,174,73,85,162,
110,Scandi Changing Table,86,98,53,49,
111,Beech Single Mattress,197,28,98,59,
112,Leather King Mattress,200,32,185,130,
113,Scandi Wardrobe Body,94,225,59,212,
114,Metal Chest of Drawers,75,94,42,47,
115,White Recliner,87,108,103,87,
116,Pine Shoe Cabinet,76,103,34,35,
117,Oak Footstool,47,42,35,4,
118,Industrial Sideboard,174,82,47,107,
119,Oak Headboard,164,10,121,20,
120,Scandi Bar Stool,40,65,44,6,
121,Walnut Coffee Table,121,46,54,39,
122,Grey Console Table,114,80,36,36,
123,Grey Sideboard,188,88,44,116,3
124,Pine Floor Lamp,33,147,29,7,
125,Oak Side Table,47,56,40,13,
126,Velvet Armchair,96,83,98,55,
127,Grey Footstool,46,37,38,4,
128,Birch Dresser,127,80,49,80,
129,Rattan Sideboard,200,81,41,106,
130,Black Display Cabinet,96,192,44,122,
131,Pine Dining Chair,47,98,55,13,85
132,Industrial Dining Table,182,72,93,183,
133,Beech Single Mattress,196,22,98,46,
134,Velvet Floor Lamp,35,153,32,9,
135,Grey Standing Desk,176,98,67,185,
136,Rattan Coat Rack,50,160,55,22,
137,White Headboard,162,10,110,18,
138,Grey Footstool,35,43,41,4,
139,Velvet Shoe Cabinet,87,97,35,38,
140,Oak King Mattress,200,29,187,119,
141,Marble Dresser,120,97,53,99,
142,Glass-Top Mirror Cabinet,71,94,14,11,
143,White Dining Chair,47,88,53,11,
144,White Bench,123,47,39,23,
145,Natural Changing Table,88,93,54,49,
146,Oak Dresser,135,97,47,98,14
147,Natural Mirror Cabinet,64,100,18,14,
148,Natural Dining Table,180,75,94,190,
149,Grey Console Table,120,76,32,32,
150,Pine Bean Bag,79,69,84,9,
151,Metal Dining Chair,48,92,53,12,
152,White Sofa 3-Seater,216,82,97,120,
153,Mahogany Desk,110,75,69,80,
154,Pine Wardrobe Doors,194,10,59,11,113
155,Walnut Single Mattress,200,23,94,48,
156,White Ottoman,63,41,67,10,
157,Beech Wardrobe Body,94,183,57,167,
158,Natural Bean Bag,89,68,89,11,
159,Grey TV Stand,152,55,47,51,
160,Glass-Top Queen Mattress,200,25,151,83,
161,Oak Bean Bag,83,66,80,9,
162,Velvet Standing Desk,142,96,70,153,
163,Glass-Top Bar Stool,44,80,42,7,
164,Pine Mirror Cabinet,74,82,14,10,
165,Leather TV Stand,172,40,50,45,
166,Pine Shoe Cabinet,76,106,33,35,
167,Scandi Display Cabinet,93,176,44,108,
168,Scandi Wardrobe Doors,236,11,56,15,157
169,Black Display Cabinet,100,179,48,129,
170,Black Standing Desk,173,77,74,158,
171,Velvet Recliner,94,103,103,90,
172,Black Bed Frame,214,43,159,176,
173,Leather Wine Rack,63,78,26,13,
174,Glass-Top Shoe Cabinet,99,106,32,44,74
175,Velvet Ottoman,77,42,64,12,
176,Metal Nightstand,52,59,40,16,
177,Black Footstool,47,38,48,5,
178,Velvet Recliner,86,99,106,81,
179,Scandi Office Chair,58,111,69,27,
180,Beech Shoe Cabinet,72,105,32,31,
181,Walnut TV Stand,174,50,50,57,
182,Velvet Chest of Drawers,104,91,49,74,
183,Natural Vanity Table,97,73,46,39,
184,Scandi Office Chair,60,117,64,27,81
185,Natural Console Table,112,80,43,42,
186,Mahogany Shoe Cabinet,75,95,29,27,
187,Black Coat Rack,55,178,44,22,
188,Scandi Wall Shelf,76,20,27,5,
189,Mahogany Floor Lamp,29,154,33,7,
190,Grey Queen Mattress,200,29,153,98,
191,Black Office Chair,67,113,66,30,
192,Natural Footstool,35,45,47,4,170
193,Velvet Console Table,108,78,41,38,
194,Grey Coat Rack,44,180,43,17,
195,Natural Side Table,54,51,58,19,
196,Natural Standing Desk,140,117,73,191,
197,Marble Floor Lamp,32,166,30,8,
198,Natural Bed Frame,210,36,179,162,
199,Rattan Corner Sofa,237,91,171,258,
200,Metal Wall Shelf,67,34,25,7,
201,Rattan Wall Shelf,112,31,21,9,
202,Metal Coffee Table,100,49,57,36,115
203,Natural Footstool,48,36,39,4,
204,Velvet Dresser,97,83,48,62,
205,Scandi Sideboard,163,88,49,112,
206,Birch Shoe Cabinet,96,105,34,45,
207,Marble Side Table,46,64,54,19,
208,Birch Filing Cabinet,47,134,65,74,68
209,Birch Sofa 2-Seater,190,94,91,114,
210,Oak Display Cabinet,93,195,45,122,
211,White Bean Bag,77,71,81,9,
212,Beech Nightstand,40,53,37,10,
213,Birch Bench,152,40,37,22,
214,Glass-Top Bookshelf,70,171,32,61,
215,Leather Shoe Cabinet,73,92,35,31,
216,Birch Crib,134,93,68,59,
217,Leather Pantry Cabinet,79,209,65,182,119
218,Industrial TV Stand,163,43,47,43,
219,Walnut Desk,130,76,59,82,
220,Metal Coat Rack,50,172,59,25,
221,Industrial Crib,123,86,75,56,
222,White Mirror Cabinet,73,94,13,11,
223,Rattan Single Mattress,196,21,95,43,
224,Marble Wall Shelf,69,35,21,6,
225,Industrial Standing Desk,126,117,71,167,
226,Metal Console Table,125,80,33,36,
227,Industrial Pantry Cabinet,63,198,64,136,
228,Leather Bean Bag,81,69,90,10,
229,Metal Drawer Unit,56,63,49,24,
230,Metal Queen Mattress,200,29,150,96,
231,Glass-Top Dresser,112,80,47,67,
232,Rattan Pantry Cabinet,64,189,65,134,132
233,Rattan Sofa 3-Seater,226,94,100,149,
234,Walnut Chest of Drawers,73,94,42,46,
235,Walnut Vanity Table,98,79,50,46,
236,Natural Dining Chair,49,94,45,10,
237,Pine Wine Rack,40,83,29,10,
238,Grey Armchair,84,90,83,44,
239,Mahogany Queen Mattress,200,31,158,108,
240,Marble Mirror Cabinet,62,92,18,12,5
241,Walnut Single Mattress,195,26,99,55,
242,Natural Shoe Cabinet,73,102,28,27,
243,Scandi Coat Rack,51,162,53,22,
244,Rattan Queen Mattress,200,31,154,105,
245,Mahogany Nightstand,42,48,43,11,
246,Marble Drawer Unit,49,67,46,21,
247,Beech Bench,158,50,36,28,
248,Velvet Display Cabinet,119,194,49,170,
249,Glass-Top Vanity Table,117,77,42,45,220
250,Natural Display Cabinet,107,188,40,121,
251,Scandi Dresser,118,81,45,69,
252,Walnut Desk,149,76,71,113,
253,Pine Mirror Cabinet,74,98,17,15,
254,Leather Bed Frame,204,35,178,153,
255,Walnut Nightstand,45,46,38,10,
256,Leather King Mattress,200,30,191,126,
257,Glass-Top Shoe Cabinet,91,109,28,36,
258,Walnut Nightstand,50,48,43,13,
259,Beech Wall Shelf,81,22,29,6,
260,Natural Drawer Unit,57,64,54,28,
261,Metal Dresser,114,100,50,91,
262,Leather Footstool,37,45,48,5,
263,Natural Filing Cabinet,44,113,60,54,
264,Black Sofa 2-Seater,164,84,91,88,
265,Leather Office Chair,56,116,65,25,
266,Rattan Armchair,79,85,85,40,
267,Mahogany Coat Rack,54,161,53,23,
268,Scandi Bookshelf,89,178,40,101,
269,Scandi Filing Cabinet,49,118,61,63,
270,White Bar Stool,40,73,38,6,
271,Metal Filing Cabinet,43,133,56,58,80
272,Scandi Wardrobe Body,147,212,57,302,
273,Black Filing Cabinet,48,105,60,54,49
274,Glass-Top Kitchen Island,160,87,64,160,
275,Beech Bed Frame,215,42,189,205,
276,Grey Coffee Table,93,42,67,34,
277,Industrial Changing Table,88,94,53,48,
278,Industrial Bookshelf,90,199,35,100,
279,Metal Headboard,141,12,118,20,
280,Industrial Wardrobe Doors,180,12,60,13,272
281,Industrial Bean Bag,80,67,86,9,
282,Leather Floor Lamp,28,152,35,7,
283,Grey Filing Cabinet,42,122,56,52,
284,Birch Pantry Cabinet,97,201,57,189,
285,Mahogany Nightstand,54,60,45,19,
286,Scandi Desk,112,74,61,71,
287,Glass-Top Side Table,49,62,57,21,
288,White Kitchen Island,128,90,61,126,
289,Birch Wardrobe Body,141,203,61,297,
290,Grey Changing Table,87,96,51,47,
291,Metal Bench,128,45,36,21,
292,Natural Wardrobe Doors,208,12,61,15,289
293,Scandi Footstool,46,42,36,4,
294,Industrial Drawer Unit,53,80,45,27,
295,Marble TV Stand,152,45,40,36,
296,Scandi Vanity Table,91,74,41,33,
297,Marble Filing Cabinet,48,102,64,56,
298,Marble Filing Cabinet,49,104,64,59,
299,Glass-Top TV Stand,161,48,43,43,93
300,Leather Headboard,164,12,103,20,
301,White King Mattress,200,32,186,131,
302,Scandi Desk,121,77,69,90,
303,Marble Chest of Drawers,74,107,48,61,
304,Mahogany Bar Stool,43,72,39,6,
305,Velvet Bookshelf,70,183,36,74,
306,Beech Mirror Cabinet,79,82,12,9,
307,Walnut Kitchen Island,138,92,76,174,
308,Mahogany Mirror Cabinet,64,93,16,11,
309,Leather Dining Chair,44,94,47,10,
310,Marble Corner Sofa,236,89,170,250,
311,Grey Mirror Cabinet,64,100,14,11,
312,Mahogany Crib,138,94,67,61,
313,Glass-Top Wine Rack,66,106,25,17,
314,Pine Standing Desk,180,111,78,249,
315,Industrial Bean Bag,75,80,84,10,
316,Black Bed Frame,212,39,179,178,
317,Scandi Bar Stool,44,80,45,8,
318,Glass-Top Recliner,95,106,102,92,
319,Metal Crib,123,90,68,53,
320,Black King Mattress,200,26,181,104,
321,Natural King Mattress,193,33,169,129,
322,Glass-Top Wardrobe Doors,222,11,64,78,25
323,Glass-Top Sofa 3-Seater,235,90,105,1110,
324,Metal Floor Lamp,33,145,30,17,
325,Birch TV Stand,133,54,43,145,
326,Beech Queen Mattress,176,26,147,81,
327,Grey Office Chair,60,112,66,182,
328,Oak Sideboard,185,93,51,456,
329,Mahogany Dresser,126,78,51,281,
330,Scandi Vanity Table,103,73,43,116,
331,Natural Floor Lamp,31,151,31,17,
332,Leather Coffee Table,122,46,55,185,
333,Natural Standing Desk,162,90,78,478,
334,White Footstool,45,45,45,11,
335,Natural Dining Table,190,75,93,557,98
336,Scandi Changing Table,90,88,49,140,
337,Leather TV Stand,150,47,44,186,
338,Velvet Vanity Table,103,68,47,155,
339,Scandi Shoe Cabinet,86,95,32,94,
340,Leather Vanity Table,109,67,45,197,
341,Beech Changing Table,86,97,49,196,
342,Grey Recliner,94,114,105,461,301
343,Oak Dining Chair,44,84,54,104,
344,Industrial Side Table,48,57,45,55,
345,Industrial Desk,144,78,70,354,
346,Walnut Wardrobe Doors,200,11,57,68,
347,White Footstool,44,41,44,10,120
348,Mahogany Drawer Unit,54,60,51,93,
349,Leather Sideboard,170,86,50,439,
350,Marble Coffee Table,98,48,60,198,
351,Natural Vanity Table,97,67,47,128,
352,Black Floor Lamp,35,154,34,22,
353,Industrial Drawer Unit,55,70,47,81,
354,Velvet Side Table,47,56,50,62,
355,Walnut Wine Rack,66,81,33,21,
356,Natural Chest of Drawers,100,91,49,187,
357,Birch Wardrobe Doors,201,10,57,54,
358,Scandi Coffee Table,114,46,59,111,144
359,Grey Recliner,102,97,111,450,
360,Glass-Top Standing Desk,181,94,73,621,
361,Rattan Shoe Cabinet,78,107,33,41,141
362,White TV Stand,141,48,46,125,
363,Glass-Top Dresser,108,86,45,209,
364,White Changing Table,90,94,48,162,
365,Mahogany Coffee Table,101,45,59,150,
366,White Shoe Cabinet,83,94,34,106,
367,Grey Pantry Cabinet,78,221,62,438,
368,Metal Wall Shelf,89,26,24,7,
369,White Single Mattress,217,24,87,54,
370,Velvet Pantry Cabinet,66,210,68,443,
371,Scandi Single Mattress,176,23,100,49,277
372,Industrial Display Cabinet,97,192,46,386,
373,Mahogany Bench,136,41,43,134,
374,Metal Dining Chair,44,99,57,107,280
375,Glass-Top Sideboard,158,84,51,338,16
376,Birch Pantry Cabinet,67,190,67,401,
377,Rattan Filing Cabinet,41,101,56,35,
378,Scandi Single Mattress,197,26,88,54,355
379,Pine Display Cabinet,92,204,49,349,
380,Walnut Coat Rack,47,168,52,222,
381,Marble Changing Table,84,98,59,340,
382,Rattan TV Stand,133,47,42,39,
383,Natural TV Stand,142,46,47,129,
384,Velvet Sideboard,162,81,41,253,
385,White Standing Desk,181,96,76,528,
386,Velvet Headboard,167,11,111,96,
387,Glass-Top Bench,127,45,37,106,
388,Metal Vanity Table,98,76,41,131,
389,Pine Sofa 3-Seater,214,91,110,814,
390,Oak Changing Table,80,91,47,178,237
391,Leather Armchair,103,83,94,482,
392,Pine Bar Stool,44,78,38,50,
393,Marble Shoe Cabinet,72,112,31,175,
394,Pine Chest of Drawers,102,89,49,169,
395,White Wall Shelf,78,29,25,7,
396,Oak Mirror Cabinet,64,84,17,48,
397,Mahogany Vanity Table,97,67,48,175,
398,Natural Wardrobe Body,124,211,62,681,
399,Beech Mirror Cabinet,72,95,18,59,171
400,Beech Floor Lamp,33,156,29,18,
401,Birch Recliner,81,109,94,390,
402,Industrial Coffee Table,110,42,67,139,
403,Rattan Drawer Unit,54,65,45,24,
404,Walnut Footstool,44,40,40,8,
405,Velvet Dining Chair,44,82,47,80,
406,Marble Bench,127,40,34,121,
407,Grey Wall Shelf,85,31,28,9,
408,Pine Headboard,166,12,115,87,
409,Scandi Wardrobe Body,132,202,54,518,
410,Walnut Bed Frame,197,39,175,726,
411,Walnut Coffee Table,118,44,62,174,
412,Glass-Top Bar Stool,47,68,42,67,
413,Rattan Armchair,91,91,95,118,
414,Rattan Dining Chair,42,88,56,31,
415,Metal Crib,138,96,62,353,
416,Mahogany Drawer Unit,57,61,50,97,
417,Natural Wardrobe Body,112,176,60,497,
418,Rattan Coat Rack,54,184,59,88,184
419,Metal Bed Frame,189,42,178,608,
420,Rattan TV Stand,147,52,46,53,398
421,Natural Wardrobe Doors,218,10,63,58,
422,Oak Floor Lamp,33,162,35,22,
423,Scandi Bench,137,48,44,104,
424,Grey Shoe Cabinet,79,104,35,118,
425,Walnut Display Cabinet,98,188,43,428,
426,Pine Nightstand,44,57,42,40,
427,Oak Wardrobe Doors,223,10,63,73,
428,White Mirror Cabinet,76,86,17,44,
429,Grey Filing Cabinet,45,106,56,110,
430,Walnut Kitchen Island,130,88,71,439,
431,Pine Dining Chair,50,102,54,105,
432,Birch Office Chair,69,111,72,259,
433,Industrial Desk,151,85,64,370,
434,Marble Recliner,92,94,107,648,
435,Rattan Crib,127,88,69,116,
436,Marble Side Table,44,51,53,83,
437,Walnut Desk,137,72,70,373,
438,Glass-Top Dining Chair,46,93,49,105,
439,Leather Pantry Cabinet,69,186,64,493,
440,Velvet Recliner,96,100,115,519,
441,Natural TV Stand,139,43,49,123,
442,Beech Wine Rack,64,93,32,23,
443,Oak Desk,143,71,72,380,
444,Birch Coat Rack,55,162,54,226,
445,Mahogany Sideboard,194,83,42,379,
446,Walnut Kitchen Island,118,87,74,410,
447,Pine Drawer Unit,52,63,44,55,
448,Marble Bean Bag,84,69,84,58,
449,Walnut Wine Rack,59,92,32,21,
450,Beech Bed Frame,230,39,171,736,151
451,Beech Sofa 3-Seater,203,78,89,676,
452,Scandi TV Stand,166,49,49,143,
453,Rattan Sofa 2-Seater,170,98,86,215,
454,Metal Bean Bag,80,70,81,54,
455,Birch Chest of Drawers,85,107,47,201,
456,Natural Queen Mattress,216,28,147,107,
457,Beech Console Table,114,80,40,175,
458,Birch Sofa 3-Seater,214,91,103,943,
459,Leather Crib,117,91,76,486,
460,Beech Dining Chair,48,90,51,106,
461,Black Sideboard,167,76,44,246,
462,Birch Bar Stool,37,84,44,64,
463,Leather Console Table,118,80,39,221,
464,Leather Dining Chair,50,83,52,129,
465,Pine Drawer Unit,53,74,53,79,
466,Industrial Desk,133,71,64,272,
467,Velvet Filing Cabinet,43,121,65,159,2
468,White Dining Chair,47,95,56,100,122
469,Marble TV Stand,135,47,41,182,
470,Beech Sofa 3-Seater,238,97,104,1152,6
471,Rattan King Mattress,178,30,193,124,
472,Pine Wardrobe Body,113,202,63,546,
473,Leather Coffee Table,106,51,56,182,
474,White Sofa 3-Seater,216,78,94,633,
475,Metal Single Mattress,212,27,107,73,
476,Beech Dresser,128,82,45,227,200
477,Velvet Floor Lamp,30,170,35,21,
478,Velvet Vanity Table,93,78,45,153,
479,Scandi Pantry Cabinet,81,183,68,363,
480,Natural Filing Cabinet,41,110,65,123,
481,Beech Vanity Table,109,69,48,173,403
482,Grey Dining Chair,44,95,54,93,
483,Mahogany Dining Table,165,83,89,683,
484,Pine Footstool,50,40,44,11,
